id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
37466,uley,Uley,Uley,5607,-34.682396,135.611357,-34.622706,135.71005,-34.81509,135.459167,-34.622706,135.71005,-34.81509,135.459167,suburb,106,ChIJV3J5f95KqmoRoByPYlQ2AwQ,"Uley SA 5607, Australia",13789
37467,ungarra,Ungarra,Ungarra,5607,-34.177633,136.049355,-34.088477,136.135198,-34.305369,135.909496,-34.088477,136.135198,-34.305369,135.909496,suburb,106,ChIJTbxJ7H8lqWoR4PGOYlQ2AwQ,"Ungarra SA 5607, Australia",13790
37468,venus-bay,Venus Bay,Venus Bay,5607,-33.232763,134.672352,-33.112594,134.82175,-33.277544,134.65827,-33.112594,134.82175,-33.277544,134.65827,suburb,106,ChIJ4VQXAy1crSoR8PGOYlQ2AwQ,"Venus Bay SA 5607, Australia",13791
37469,wangary,Wangary,Wangary,5607,-34.549509,135.481244,-34.50282,135.603245,-34.627531,135.410646,-34.50282,135.603245,-34.627531,135.410646,suburb,106,ChIJ-TdwHHkxqmoREPKOYlQ2AwQ,"Wangary SA 5607, Australia",13792
37470,wanilla,Wanilla,Wanilla,5607,-34.528952,135.674497,-34.476536,135.79318,-34.575824,135.550491,-34.476536,135.79318,-34.575824,135.550491,suburb,106,ChIJXRqBss_Wq2oRIPKOYlQ2AwQ,"Wanilla SA 5607, Australia",13793
37471,warrow,Warrow,Warrow,5607,-34.348539,135.459895,0,0,0,0,0,0,0,0,,106,ChIJOfUSpRwoqmoR7Nj8Nn0jcks,"Warrow, Coulta SA 5607, Australia",13795
37472,warunda,Warunda,Warunda,5607,-34.485611,135.682602,0,0,0,0,0,0,0,0,,106,ChIJUQ7vk4bWq2oRSiuNXE247So,"Warunda, Wanilla SA 5607, Australia",13796
37473,whites-flat,Whites Flat,Whites Flat,5607,-34.530314,135.861117,-34.477172,135.89735,-34.543617,135.787661,-34.477172,135.89735,-34.543617,135.787661,suburb,106,ChIJm81rTulhqWoRIB2PYlQ2AwQ,"Whites Flat SA 5607, Australia",13797
37474,whites-river,Whites River,Whites River,5607,-34.491334,135.924595,-34.477164,136.034747,-34.518603,135.879452,-34.477164,136.034747,-34.518603,135.879452,suburb,106,ChIJkXXHbiNcqWoRMB2PYlQ2AwQ,"Whites River SA 5607, Australia",13798
37475,yallunda-flat,Yallunda Flat,Yallunda Flat,5607,-34.347331,135.879124,-34.268988,136.006235,-34.40168,135.777289,-34.268988,136.006235,-34.40168,135.777289,suburb,106,ChIJpcxRURpqqWoRwPGOYlQ2AwQ,"Yallunda Flat SA 5607, Australia",13799
37476,whyalla-norrie,Whyalla Norrie,Whyalla Norrie,5608,-33.027395,137.538414,-33.008005,137.554801,-33.045628,137.527908,-33.008005,137.554801,-33.045628,137.527908,suburb,106,ChIJM44abWlRu2oRwP-OYlQ2AwU,"Whyalla Norrie SA 5608, Australia",13800
